GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,pop,hh,r_hh,eviction_rate,rank_eviction_rate,corp_own_rate,rank_corp_own_rate,non_white_rate,rank_non_white_rate,o_mhi,mhi,rank_mhi,r_mhi,rank_r_mhi,white_rate,black_rate,hispanic_rate,asian_rate,othr_race_rate
25025081400,20.0,15.0,39.0,36.0,0.3301805674978504,3003,1300,870,4.134294460353511,49.0,0.1607910576096302,92.0,77.18947718947719,45.0,76076.0,46919.0,72.0,40214.0,93.0,22.81052281052281,50.48285048285048,19.513819513819513,3.063603063603064,4.129204129204131
25025081500,20.0,8.0,12.0,30.0,0.4376039933444259,2134,839,471,6.35794937619454,29.0,0.1497504159733777,107.0,91.70571696344892,31.0,57234.0,27417.0,26.0,21206.0,31.0,8.294283036551079,62.277413308341146,24.179943767572635,1.1715089034676665,4.076850984067475
25025081700,36.0,25.0,60.0,52.0,0.3934169278996865,3820,1473,893,5.8198301555474865,32.0,0.1551724137931034,102.0,98.06282722513089,12.0,79028.0,35589.0,45.0,26860.0,44.0,1.93717277486911,71.33507853403141,20.471204188481675,1.5183246073298429,4.73821989528796
25025081800,26.0,9.0,34.0,41.0,0.4339869281045752,2898,1139,644,6.359656681948227,28.0,0.1607843137254902,93.0,97.30848861283644,17.0,51700.0,41471.0,57.0,19789.0,28.0,2.691511387163561,64.83781918564527,25.396825396825395,1.3457556935817805,5.728088336783992
25025081900,19.0,27.0,46.0,61.0,0.3956442831215971,3115,1256,759,8.03614123677818,13.0,0.2450090744101633,31.0,97.81701444622793,13.0,71250.0,37004.0,51.0,31633.0,69.0,2.182985553772071,65.68218298555377,26.581059390048157,0.5778491171749599,4.975922953451047
25025082000,17.0,12.0,48.0,33.0,0.4484451718494271,2815,1158,638,5.166740978767239,42.0,0.1800327332242225,70.0,98.15275310834814,10.0,68929.0,33148.0,37.0,16773.0,16.0,1.8472468916518652,74.1385435168739,18.969804618117227,0.6749555950266429,4.369449378330372
25025082100,33.0,73.0,121.0,140.0,0.3815461346633416,5025,2035,1258,11.123880478719187,3.0,0.3042394014962593,13.0,98.76616915422886,5.0,81450.0,21585.0,19.0,17524.0,19.0,1.2338308457711442,61.55223880597015,33.0547263681592,0.6368159203980099,3.5223880597015027
25025090100,42.0,37.0,56.0,78.0,0.4170040485829959,4571,1681,980,7.959052151497124,14.0,0.1673414304993252,88.0,98.11857361627652,11.0,71450.0,34153.0,40.0,26939.0,45.0,1.8814263837234741,70.68475169547145,22.5114854517611,0.656311529205863,4.26602493983811
25025090200,28.0,18.0,15.0,49.0,0.3374233128834356,2233,772,511,9.579495298407217,6.0,0.2361963190184049,35.0,98.20868786386028,9.0,69583.0,18883.0,15.0,17350.0,18.0,1.7913121361397222,52.66457680250783,38.737124944021495,2.015226153157188,4.791759964173762
25025090300,30.0,37.0,28.0,80.0,0.3511705685618729,3179,1123,728,10.979427343914956,4.0,0.2006688963210702,59.0,98.52154765649576,7.0,62177.0,17068.0,12.0,14146.0,6.0,1.4784523435042467,58.32022648631645,34.03586033343819,0.5976722239698019,5.5677886127713165
